src_name,dest_name,cost_sec
다대포해수욕장,다대포항,127
다대포항,낫개,109
낫개,신장림,100
신장림,장림,73
장림,동매,109
동매,신평,155
신평,하단,145
하단,당리,73
당리,사하,82
사하,괴정,82
괴정,대티,73
대티,서대신,127
서대신,동대신,64
동대신,토성,109
토성,자갈치,91
자갈치,남포,64
남포,중앙,82
중앙,부산,100
부산,초량,73
초량,부산진,73
부산진,좌천,91
좌천,범일,82
범일,범내골,73
범내골,서면(1),109
서면(1),부전,55
부전,양정,127
양정,시청,73
시청,연산(1),82
연산(1),교대,91
교대,동래(1),109
동래(1),명륜,73
명륜,온천장,91
온천장,부산대,100
부산대,장전,91
장전,구서,100
구서,두실,91
두실,남산,91
남산,범어사,82
범어사,노포,109
장산,중동,82
중동,해운대,82
해운대,동백,109
동백,벡스코,100
벡스코,센텀시티,73
센텀시티,민락,91
민락,수영(2),82
수영(2),광안,82
광안,금련산,82
금련산,남천,82
남천,경성대부경대,73
경성대부경대,대연,82
대연,못골,64
못골,지게골,82
지게골,문현,73
문현,국제금융센터부산은행,73
국제금융센터부산은행,전포,73
전포,서면(2),100
서면(2),부암,73
부암,가야,64
가야,동의대,82
동의대,개금,100
개금,냉정,73
냉정,주례,82
주례,감전,109
감전,사상,100
사상,덕포,109
덕포,모덕,73
모덕,모라,91
모라,구남,100
구남,구명,64
구명,덕천(2),109
덕천(2),수정,136
수정,화명,136
화명,율리,109
율리,동원,136
동원,금곡,91
금곡,호포,136
호포,증산,318
증산,부산대양산캠퍼스,91
부산대양산캠퍼스,남양산,100
남양산,양산,145
수영(3),망미,91
망미,배산,109
배산,물만골,100
물만골,연산(3),100
연산(3),거제,64
거제,종합운동장,64
종합운동장,사직,73
사직,미남(3),73
미남(3),만덕,300
만덕,남산정,100
남산정,숙등,91
숙등,덕천(3),64
덕천(3),구포,100
구포,강서구청,145
강서구청,체육공원,100
체육공원,대저,73
미남(4),동래(4),91
동래(4),수안,64
수안,낙민,64
낙민,충렬사,64
충렬사,명장,64
명장,서동,91
서동,금사,73
금사,반여농산물시장,73
반여농산물시장,석대,109
석대,영산대,127
영산대,윗반송,100
윗반송,고촌,73
고촌,안평,100
서면(1),서면(2),120
연산(1),연산(3),180
동래(1),동래(4),360
수영(2),수영(3),180
덕천(2),덕천(3),180
미남(3),미남(4),240
