start_node,end_node,cost_sec
95,96,127
96,97,109
97,98,100
98,99,73
99,100,109
100,101,155
101,102,145
102,103,73
103,104,82
104,105,82
105,106,73
106,107,127
107,108,64
108,109,109
109,110,91
110,111,64
111,112,82
112,113,100
113,114,73
114,115,73
115,116,91
116,117,82
117,118,73
118,119,109
119,120,55
120,121,127
121,122,73
122,123,82
123,124,91
124,125,109
125,126,73
126,127,91
127,128,100
128,129,91
129,130,100
130,131,91
131,132,91
132,133,82
133,134,109
201,202,82
202,203,82
203,204,109
204,205,100
205,206,73
206,207,91
207,208,82
208,209,82
209,210,82
210,211,82
211,212,73
212,213,82
213,214,64
214,215,82
215,216,73
216,217,73
217,218,73
218,219,100
219,220,73
220,221,64
221,222,82
222,223,100
223,224,73
224,225,82
225,226,109
226,227,100
227,228,109
228,229,73
229,230,91
230,231,100
231,232,64
232,233,109
233,234,136
234,235,136
235,236,109
236,237,136
237,238,91
238,239,136
239,240,318
240,241,91
241,242,100
242,243,145
301,302,91
302,303,109
303,304,100
304,305,100
305,306,64
306,307,64
307,308,73
308,309,73
309,310,300
310,311,100
311,312,91
312,313,64
313,314,100
314,315,145
315,316,100
316,317,73
401,402,91
402,403,64
403,404,64
404,405,64
405,406,64
406,407,91
407,408,73
408,409,73
409,410,109
410,411,127
411,412,100
412,413,73
413,414,100
119,219,120
123,305,180
125,402,360
208,301,180
233,313,180
309,401,240
